ST_CASE,LATITUDE,LONGITUD
62564,34.77545,-118.5695861
62565,34.11573889,-117.2524278
62566,34.47088333,-117.3014278
62567,34.01914167,-117.5024778
62568,34.15681111,-118.4046222
62569,34.27277778,-118.5521694
62570,38.64216667,-121.14215
62571,34.67080556,-118.1541694
62572,33.81274722,-117.2260889
62573,34.73383889,-118.0411417
62574,33.91441944,-116.6033861
62575,34.22770556,-118.485175
62576,36.20493333,-119.3493667
62577,33.77897222,-118.2543333
62578,34.13173611,-116.390175
62579,34.08618056,-117.1824139
62580,33.97250556,-118.4296056
62581,33.85464167,-118.2992778
62582,33.21239167,-117.3675056
62583,34.03258333,-118.329675
62584,36.98180278,-121.9557444
62585,33.98166389,-118.2347778
62586,34.10086944,-117.4536444
62587,34.41221389,-119.7658861
62588,33.94054444,-117.2685722
62589,33.56615278,-117.208825
62590,37.01655556,-121.9520361
62591,33.87013333,-118.2828917
62592,33.95944444,-118.0514556
62593,34.64578889,-118.1336389
62594,36.91833889,-121.7829083
62595,33.97228889,-118.0446306
62596,34.47138889,-117.2133222
62597,33.96438333,-118.3090389
62598,37.8164,-122.2678583
62599,36.148675,-119.5931333
62600,39.77136667,-122.2047361
62601,33.77641944,-117.8672139
62602,34.08870556,-117.3017389
62603,37.07331111,-121.9896444
62604,37.48135556,-121.1089083
62605,36.10686944,-119.554275
62606,33.65425278,-117.658975
62607,33.872925,-118.3727639
62608,37.25215,-122.0596139
62609,34.48531667,-118.1642444
62610,37.89937778,-121.7179444
62611,38.74376389,-121.2105694
62612,33.83469722,-117.5499306
62613,36.19341944,-119.9402889
62614,33.94487222,-117.0040722
62615,33.78203333,-116.958875
62616,33.83606944,-117.8498611
62617,38.68247778,-121.3355917
62618,38.69685833,-121.3830722
62619,33.97379722,-118.3090972
62620,34.25730278,-118.5276333
