ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
122494,10,16,2,21,28.53713889,-82.5116,8,2,1,1,25,0,0,25
122495,10,18,4,12,29.70028056,-81.29771111,12,1,1,2,20,0,0,20
122496,10,18,4,19,25.53818056,-80.37203611,8,2,1,1,40,0,0,45
122497,10,19,5,7,28.19373333,-82.740025,12,4,1,2,20,0,0,45
122498,10,20,6,21,26.99797778,-82.12040278,8,2,1,1,45,0,0,45
122499,10,20,6,19,27.90870833,-80.62863333,8,3,1,1,5,0,1,25
122500,10,20,6,2,28.53542778,-81.38290833,12,3,1,2,998,0,1,60
122501,10,21,7,7,28.55483889,-81.11087222,9,1,1,1,45,0,0,45
122502,10,9,2,20,30.561775,-81.6426,8,2,1,1,70,0,0,70
122503,10,15,1,19,28.69040278,-81.32447778,42,3,1,1,70,1,0,25
122504,10,20,6,17,30.14485,-81.70105556,12,1,1,2,80,1,0,50
122505,10,21,7,17,26.94446111,-81.42341944,12,1,1,2,60,0,0,60
122506,10,21,7,11,30.11200833,-81.51494167,59,1,1,1,65,1,0,65
122507,10,8,1,4,28.28449444,-81.34074722,12,2,10,2,70,1,0,70
122508,10,21,7,23,30.43968056,-84.109475,42,2,1,1,65,1,0,45
122509,10,20,6,1,26.45816389,-80.08924167,25,3,1,2,80,1,0,65
122510,10,21,7,20,30.15264167,-84.31305,9,2,1,1,55,0,0,55
122511,10,21,7,5,27.35226389,-82.52640556,33,3,1,1,45,1,0,45
122512,10,13,6,6,29.21463611,-82.16847778,8,2,5,1,35,0,0,35
122513,10,21,7,14,28.55633056,-82.40029722,1,1,1,2,20,0,0,35
122514,10,21,7,5,25.99514167,-80.43249722,12,2,1,3,50,0,1,55
122515,10,22,1,15,29.64139722,-81.67615,12,1,1,2,45,1,0,45
122516,10,12,5,13,30.11288889,-85.20021389,8,1,1,1,35,0,1,35
122517,10,12,5,19,29.09900556,-81.87194722,1,2,2,1,30,1,0,30
122518,10,11,4,15,28.05473611,-81.99021111,12,1,10,2,998,1,0,98
122519,10,11,4,17,28.10645,-81.65861944,12,1,10,5,998,0,0,55
122520,10,21,7,22,29.66993056,-82.389,12,3,1,2,5,0,0,45
122521,10,5,5,19,25.49961667,-80.43219167,33,3,1,1,998,1,0,40
122522,10,14,7,5,30.61368611,-81.67083056,12,2,1,2,10,1,0,15
122523,10,22,1,4,28.23671389,-81.43451667,8,2,1,1,45,0,0,45
122524,10,18,4,18,28.43660556,-82.54761389,30,5,1,1,45,1,1,45
122525,10,19,5,18,30.67718889,-87.31904444,1,5,1,1,40,1,1,45
122526,10,20,6,4,28.21693056,-82.72173889,8,2,1,1,45,0,0,45
122527,10,21,7,2,28.80041389,-81.75699167,42,2,1,1,100,2,0,35
122528,10,19,5,10,26.44638333,-80.15522778,8,1,1,1,30,0,0,30
122530,10,14,7,19,25.90495,-80.24421667,8,3,1,1,80,0,0,35
122531,10,16,2,23,26.06334722,-80.20780833,8,3,1,1,50,0,0,45
122532,10,20,6,6,28.208525,-80.66361389,12,4,1,2,50,1,0,50
122534,10,24,3,20,27.97044722,-82.43782222,9,3,1,1,998,0,0,98
122536,10,20,6,23,27.82106944,-82.67185556,8,2,1,2,40,0,0,45
122537,10,7,7,19,25.64043889,-80.43535833,5,5,1,1,40,1,0,40
122538,10,23,2,20,28.61648333,-81.31159167,12,3,1,2,5,0,0,50
122539,10,24,3,20,28.47870278,-82.48685278,33,3,1,1,45,1,1,45
122540,10,21,7,0,27.95471389,-80.57102222,32,2,1,1,45,1,1,45
122543,10,10,3,5,26.44033056,-80.08929722,8,4,1,1,60,0,1,65
122544,10,16,2,20,28.19321944,-82.477225,12,3,1,2,50,1,0,50
122545,10,18,4,6,28.05539167,-81.61984722,12,2,1,2,95,1,0,55
122546,10,25,4,20,26.28723889,-80.273,12,3,1,3,80,1,1,45
122547,10,28,7,7,28.23886389,-82.6939,34,1,1,1,20,1,0,20
122548,10,28,7,0,28.54570278,-81.37319167,9,3,1,1,998,0,0,30
122549,10,24,3,0,29.92541111,-81.41593889,24,3,1,1,70,1,0,70
122550,10,25,4,7,30.59399167,-84.410675,12,4,10,2,10,1,0,55
122551,10,21,7,3,25.810425,-80.19722222,12,3,1,2,30,1,0,30
122552,9,15,6,14,29.0427,-81.30377778,30,1,1,1,30,1,0,35
122553,10,20,6,22,25.68498889,-80.42487778,12,3,1,2,20,1,1,45
122554,10,28,7,6,28.11465,-82.30046944,12,2,1,2,42,0,0,45
